"","X","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","PRICE.SQUARE.FEET","BOROUGHNAME","location","ID","lon","lat"
"1","7","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2B","402","21","NA","C4","154 EAST 7TH STREET"," ","10009","10","0","10","2272","6794","1913","2","C4","3936272","2016-09-23","579.374742419782","Manhattan","154 EAST 7TH STREET, Manhattan, 10009 - New York","1","-73.9823541","40.7255536"
"2","8","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS             ","2A","404","55","NA","C2","301 EAST 10TH   STREET"," ","10009","6","0","6","2369","4615","1900","2","C2","8000000","2016-11-17","1733.47778981582","Manhattan","301 EAST 10TH   STREET, Manhattan, 10009 - New York","2","-73.9817512","40.7276476"
"3","13","1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS           ","2","387","153","NA","D9","629 EAST 5TH STREET"," ","10009","24","0","24","4489","18523","1920","2","D9","16232000","2016-11-07","876.315931544566","Manhattan","629 EAST 5TH STREET, Manhattan, 10009 - New York","4","-73.9807784","40.7234972"
"4","15","1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS           ","2B","400","21","NA","D1","530-532 EAST 5TH STREET"," ","10009","10","0","10","3717","12350","2009","2","D1","10350000","2016-10-17","838.056680161943","Manhattan","530-532 EAST 5TH STREET, Manhattan, 10009 - New York","5","-73.983104","40.724063"
"5","77","1","ALPHABET CITY","11A CONDO-RENTALS                           ","2","385","1102","NA","RR","254 EAST 2ND STREET","RES","10009","47","0","47","NA","36472","2005","2","RR","28000000","2016-10-13","767.712217591577","Manhattan","254 EAST 2ND STREET, Manhattan, 10009 - New York","6","-73.9813862","40.7213897"
"6","176","1","ALPHABET CITY","14 RENTALS - 4-10 UNIT                     ","2A","391","19","NA","S3","624 EAST 9TH   STREET"," ","10009","3","1","4","1520","3360","1910","2","S3","3300000","2016-11-15","982.142857142857","Manhattan","624 EAST 9TH   STREET, Manhattan, 10009 - New York","7","-73.979332","40.725637"
"7","199","1","ALPHABET CITY","22 STORE BUILDINGS                         ","4","390","34","NA","K4","115 AVENUE C"," ","10009","0","1","1","1218","3586","1899","4","K4","3700000","2016-09-28","1031.79029559398","Manhattan","115 AVENUE C, Manhattan, 10009 - New York","8","-73.9788784","40.7244215"
"8","220","1","CHELSEA","07 RENTALS - WALKUP APARTMENTS             ","2B","696","37","NA","C4","253 10TH   AVENUE"," ","10001","6","1","7","1463","3762","1901","2","C4","16000000","2016-09-08","4253.05688463583","Manhattan","253 10TH   AVENUE, Manhattan, 10001 - New York","10","-74.0037075","40.7489719"
"9","237","1","CHELSEA","07 RENTALS - WALKUP APARTMENTS             ","2B","790","63","NA","C1","148 WEST 15TH   STREET"," ","10011","8","0","8","2000","4100","1910","2","C1","3485000","2016-12-05","850","Manhattan","148 WEST 15TH   STREET, Manhattan, 10011 - New York","13","-73.9983422","40.7388823"
"10","281","1","CHELSEA","09 COOPS - WALKUP APARTMENTS               ","2","744","32","NA","C6","309 WEST 20TH   STREET"," ","10011","24","0","24","4600","12200","1850","2","C6","282000","2016-10-19","23.1147540983607","Manhattan","309 WEST 20TH   STREET, Manhattan, 10011 - New York","16","-74.00051","40.743703"
"11","835","1","CHELSEA","14 RENTALS - 4-10 UNIT                     ","2A","716","1","NA","S4","130 TENTH AVENUE"," ","10011","4","1","5","1875","5225","1910","2","S4","10581818","2016-11-04","2025.22832535885","Manhattan","130 TENTH AVENUE, Manhattan, 10011 - New York","17","-74.0060871","40.7446413"
"12","838","1","CHELSEA","14 RENTALS - 4-10 UNIT                     ","2A","769","69","NA","S9","192 8 AVENUE"," ","10011","4","2","6","2500","4447","1910","2","S9","8250000","2016-12-16","1855.18326961997","Manhattan","192 8 AVENUE, Manhattan, 10011 - New York","18","-73.9997199","40.7430733"
"13","941","1","CHELSEA","22 STORE BUILDINGS                         ","4","696","28","NA","K1","507 WEST 24TH"," ","10011","0","1","1","3950","7900","2013","4","K1","10750000","2016-12-28","1360.75949367089","Manhattan","507 WEST 24TH, Manhattan, 10011 - New York","20","-74.0041392","40.7486361"
"14","949","1","CHELSEA","23 LOFT BUILDINGS                          ","4","795","19","NA","L8","137 WEST 19TH STREET"," ","10011","1","5","6","1878","11250","1910","4","L8","10500000","2016-09-30","933.333333333333","Manhattan","137 WEST 19TH STREET, Manhattan, 10011 - New York","22","-73.9960986","40.7410853"
"15","954","1","CHELSEA","25 LUXURY HOTELS                           ","4","801","71","NA","H1","152 WEST 26TH STREET"," ","10001","0","1","1","9826","122236","2010","4","H1","139725000","2016-12-05","1143.07568964953","Manhattan","152 WEST 26TH STREET, Manhattan, 10001 - New York","23","-73.9937504","40.7455183"
"16","956","1","CHELSEA","26 OTHER HOTELS                            ","4","772","64","NA","H3","216-222 WEST 23RD   STREET"," ","10011","0","10","10","17281","170750","1900","4","H3","92007576","2016-10-28","538.843783308931","Manhattan","216-222 WEST 23RD   STREET, Manhattan, 10011 - New York","24","-73.9968525","40.7443502"
"17","964","1","CHELSEA","37 RELIGIOUS FACILITIES                    ","4","799","25","NA","M1","125 WEST 23RD   STREET"," ","10011","0","1","1","12343","21183","1920","4","M1","50350000","2016-11-03","2376.90600953595","Manhattan","125 WEST 23RD   STREET, Manhattan, 10011 - New York","25","-73.993576","40.743622"
"18","1012","1","CHINATOWN","07 RENTALS - WALKUP APARTMENTS             ","2","164","28","NA","C7","45 MOTT STREET"," ","10013","11","3","14","2380","7946","1915","2","C7","8275000","2016-11-16","1041.40448024163","Manhattan","45 MOTT STREET, Manhattan, 10013 - New York","26","-73.9989348","40.7152896"
"19","1087","1","CHINATOWN","23 LOFT BUILDINGS                          ","4","281","44","NA","L8","41-43 DIVISION STREET"," ","10002","0","8","8","3465","20968","1900","4","L8","15500000","2016-12-20","739.221671117894","Manhattan","41-43 DIVISION STREET, Manhattan, 10002 - New York","29","-73.9955057","40.7141398"
"20","1807","1","EAST VILLAGE","07 RENTALS - WALKUP APARTMENTS             ","2","442","11","NA","C5","31 EAST 1ST STREET"," ","10003","21","0","21","2144","7495","1920","2","C5","5381394","2016-09-23","717.997865243496","Manhattan","31 EAST 1ST STREET, Manhattan, 10003 - New York","30","-73.9905088","40.7239487"
"21","2054","1","FASHION","21 OFFICE BUILDINGS                        ","4","833","11","NA","O4","1250 BROADWAY"," ","10001","0","55","55","30750","645977","1969","4","O4","565000000","2016-11-01","874.644143676942","Manhattan","1250 BROADWAY, Manhattan, 10001 - New York","36","-73.98781","40.7477162"
"22","2055","1","FASHION","21 OFFICE BUILDINGS                        ","4","838","12","NA","O6","53 WEST 36TH   STREET"," ","10018","0","17","17","5925","64300","1911","4","O6","54000000","2016-10-27","839.813374805599","Manhattan","53 WEST 36TH   STREET, Manhattan, 10018 - New York","37","-73.9859831","40.7507182"
"23","2066","1","FASHION","23 LOFT BUILDINGS                          ","4","805","39","NA","L1","115-123 W 29TH"," ","10001","0","15","15","6994","79465","1913","4","L1","220000","2016-12-19","2.76851444031964","Manhattan","115-123 W 29TH, Manhattan, 10001 - New York","38","-73.9909496","40.747136"
"24","2070","1","FASHION","25 LUXURY HOTELS                           ","4","763","28","NA","H2","311 WEST 39TH   STREET"," ","10018","0","1","1","7406","177000","2010","4","H2","128177800","2016-09-29","724.168361581921","Manhattan","311 WEST 39TH   STREET, Manhattan, 10018 - New York","39","-73.9919775","40.7558962"
"25","3032","1","FLATIRON","21 OFFICE BUILDINGS                        ","4","856","9","NA","O4","11-13 EAST 26TH   STREET"," ","10010","0","35","35","11553","217991","1913","4","O4","1159531","2016-12-20","5.31916914001037","Manhattan","11-13 EAST 26TH   STREET, Manhattan, 10010 - New York","50","-73.9873107","40.7433206"
"26","3065","1","GRAMERCY","02 TWO FAMILY DWELLINGS                    ","1","899","38","NA","B9","236 EAST 19TH STREET"," ","10003","2","0","2","1750","3880","1901","1","B9","7350000","2016-11-09","1894.32989690722","Manhattan","236 EAST 19TH STREET, Manhattan, 10003 - New York","51","-73.9835603","40.7355817"
"27","3075","1","GRAMERCY","07 RENTALS - WALKUP APARTMENTS             ","2A","898","7","NA","C9","205 EAST 17TH   STREET"," ","10003","4","1","5","2116","6932","1920","2","C9","8700000","2016-12-22","1255.04904789383","Manhattan","205 EAST 17TH   STREET, Manhattan, 10003 - New York","52","-73.9852698","40.7349745"
"28","3079","1","GRAMERCY","08 RENTALS - ELEVATOR APARTMENTS           ","2","882","39","NA","D7","153 EAST 26TH   STREET"," ","10010","14","1","15","1975","15800","1905","2","D7","11800000","2016-10-07","746.835443037975","Manhattan","153 EAST 26TH   STREET, Manhattan, 10010 - New York","54","-73.9822284","40.7411372"
"29","3509","1","GRAMERCY","21 OFFICE BUILDINGS                        ","4","879","25","NA","O5","139 EAST 23RD STREET"," ","10010","0","2","2","2568","7012","1910","4","O5","15000000","2016-12-29","2139.18996006845","Manhattan","139 EAST 23RD STREET, Manhattan, 10010 - New York","56","-73.9842824","40.7395551"
"30","3537","1","GREENWICH VILLAGE-CENTRAL","01 ONE FAMILY DWELLINGS                    ","1","525","34","NA","S1","168 THOMPSON STREET"," ","10012","1","1","2","1350","5807","1900","1","S1","9999999","2016-11-22","1722.05941105562","Manhattan","168 THOMPSON STREET, Manhattan, 10012 - New York","57","-74.0003533","40.7276489"
"31","3538","1","GREENWICH VILLAGE-CENTRAL","01 ONE FAMILY DWELLINGS                    ","1","526","51","NA","A4","88 MACDOUGAL STREET"," ","10012","1","0","1","2002","3556","1899","1","A4","12500000","2016-09-09","3515.18560179978","Manhattan","88 MACDOUGAL STREET, Manhattan, 10012 - New York","58","-74.0015886","40.7287143"
"32","3541","1","GREENWICH VILLAGE-CENTRAL","01 ONE FAMILY DWELLINGS                    ","1","552","50","NA","A4","116 WAVERLY PLACE"," ","10011","1","0","1","2138","7000","1900","1","A4","20650000","2016-09-19","2950","Manhattan","116 WAVERLY PLACE, Manhattan, 10011 - New York","59","-73.999493","40.7323854"
"33","3562","1","GREENWICH VILLAGE-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2","575","75","NA","C5","51 WEST 11TH STREET"," ","10011","19","0","19","2452","8628","1900","2","C5","8500000","2016-09-15","985.16458043579","Manhattan","51 WEST 11TH STREET, Manhattan, 10011 - New York","62","-73.9971169","40.7348888"
"34","4157","1","GREENWICH VILLAGE-CENTRAL","22 STORE BUILDINGS                         ","4","556","21","NA","K4","62 3 AVENUE"," ","10003","0","2","2","1852","5003","1901","4","K4","9300000","2016-10-26","1858.88466919848","Manhattan","62 3 AVENUE, Manhattan, 10003 - New York","65","-73.989025","40.7312877"
"35","4165","1","GREENWICH VILLAGE-CENTRAL","34 THEATRES                                ","4","556","65","NA","J8","66 3 AVENUE"," ","10003","0","1","1","7742","54328","1900","4","J8","32250000","2016-10-14","593.616551317921","Manhattan","66 3 AVENUE, Manhattan, 10003 - New York","66","-73.9888077","40.7316228"
"36","4176","1","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS                    ","1","585","69","NA","A5","2 GROVE COURT"," ","10014","1","0","1","384","1152","1901","1","A5","1375000","2016-10-07","1193.57638888889","Manhattan","2 GROVE COURT, Manhattan, 10014 - New York","67","-74.005768","40.732017"
"37","4177","1","GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS                    ","1","585","69","NA","A5","2 GROVE COURT"," ","10014","1","0","1","384","1152","1901","1","A5","1375000","2016-10-07","1193.57638888889","Manhattan","2 GROVE COURT, Manhattan, 10014 - New York","68","-74.005768","40.732017"
"38","4217","1","GREENWICH VILLAGE-WEST","07 RENTALS - WALKUP APARTMENTS             ","2B","621","76","NA","C5","81 CHARLES STREET"," ","10014","7","0","7","1905","4040","1910","2","C5","9000000","2016-12-14","2227.72277227723","Manhattan","81 CHARLES STREET, Manhattan, 10014 - New York","72","-74.0043941","40.7347081"
"39","4789","1","GREENWICH VILLAGE-WEST","22 STORE BUILDINGS                         ","4","611","69","NA","K4","139 WEST 10TH   STREET"," ","10014","2","1","3","2090","4224","1880","4","K4","6856750","2016-09-14","1623.28361742424","Manhattan","139 WEST 10TH   STREET, Manhattan, 10014 - New York","74","-74.0007736","40.7347533"
"40","4822","1","HARLEM-CENTRAL","02 TWO FAMILY DWELLINGS                    ","1","1902","40","NA","B1","112 WEST 118TH STREET"," ","10026","2","0","2","1615","3328","1998","1","B1","2800000","2016-11-16","841.346153846154","Manhattan","112 WEST 118TH STREET, Manhattan, 10026 - New York","77","-73.9494833","40.8036551"
"41","4828","1","HARLEM-CENTRAL","02 TWO FAMILY DWELLINGS                    ","1","1937","52","NA","B1","252 WEST 132 STREET"," ","10027","2","0","2","1799","3600","1899","1","B1","1310000","2016-11-16","363.888888888889","Manhattan","252 WEST 132 STREET, Manhattan, 10027 - New York","78","-73.946939","40.813907"
"42","4847","1","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS                  ","1","1723","56","NA","C0","46 WEST 126 STREET"," ","10027","3","0","3","1998","3054","1910","1","C0","2685000","2016-09-19","879.174852652259","Manhattan","46 WEST 126 STREET, Manhattan, 10027 - New York","83","-73.9436165","40.8076722"
"43","4854","1","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS                  ","1","1754","14","NA","C0","29 EAST 129TH STREET"," ","10035","3","0","3","1699","2852","1900","1","C0","1980000","2016-09-15","694.249649368864","Manhattan","29 EAST 129TH STREET, Manhattan, 10035 - New York","84","-73.939042","40.808632"
"44","4861","1","HARLEM-CENTRAL","03 THREE FAMILY DWELLINGS                  ","1","1911","19","NA","C0","129 WEST 126TH STREET"," ","10027","3","0","3","2495","3335","2000","1","C0","2200000","2016-10-13","659.670164917541","Manhattan","129 WEST 126TH STREET, Manhattan, 10027 - New York","86","-73.946067","40.80915"
"45","4892","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2A","1749","107","NA","C2","9 EAST 124TH STREET"," ","10035","6","0","6","2018","2994","1910","2","C2","2150000","2016-11-22","718.10287241149","Manhattan","9 EAST 124TH STREET, Manhattan, 10035 - New York","89","-73.9423778","40.8055835"
"46","4893","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2B","1750","66","NA","C5","14 EAST 126 STREET"," ","10035","7","0","7","1873","2919","1909","2","C5","1500000","2016-12-05","513.874614594039","Manhattan","14 EAST 126 STREET, Manhattan, 10035 - New York","90","-73.9410606","40.80679"
"47","4897","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2A","1754","46","NA","C3","56 EAST 130 STREET"," ","10037","4","0","4","2498","7230","1900","2","C3","2450000","2016-09-21","338.865836791148","Manhattan","56 EAST 130 STREET, Manhattan, 10037 - New York","91","-73.937807","40.808428"
"48","4900","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2B","1767","26","NA","C4","157 EAST 118 STREET"," ","10035","10","0","10","2523","8525","1900","2","C4","3000000","2016-09-08","351.906158357771","Manhattan","157 EAST 118 STREET, Manhattan, 10035 - New York","93","-73.9399584","40.7998637"
"49","4912","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2","1907","1","NA","C7","2041 ADAM C POWELL BLVD"," ","10027","23","4","27","7200","21340","1910","2","C7","5128650","2016-09-29","240.330365510778","Manhattan","2041 ADAM C POWELL BLVD, Manhattan, 10027 - New York","95","-73.9492196","40.8071572"
"50","4920","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2B","1914","56","NA","C5","160 WEST 130TH STREET"," ","10027","8","0","8","1873","2700","1910","2","C5","1575000","2016-09-15","583.333333333333","Manhattan","160 WEST 130TH STREET, Manhattan, 10027 - New York","101","-73.9452977","40.8116578"
"51","4949","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2A","1943","14","NA","C3","387 MANHATTAN AVENUE"," ","10026","4","0","4","900","2880","1901","2","C3","2100000","2016-11-28","729.166666666667","Manhattan","387 MANHATTAN AVENUE, Manhattan, 10026 - New York","104","-73.9568782","40.8053075"
"52","4958","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2A","2025","20","NA","C2","221 WEST 139 STREET"," ","10030","6","0","6","1815","4034","1920","2","C2","1625000","2016-11-22","402.825979176996","Manhattan","221 WEST 139 STREET, Manhattan, 10030 - New York","106","-73.9429857","40.8183248"
"53","4981","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2","2034","47","NA","C1","220 WEST 149 STREET"," ","10039","25","0","25","3997","15444","1910","2","C1","6700000","2016-12-21","433.825433825434","Manhattan","220 WEST 149 STREET, Manhattan, 10039 - New York","108","-73.9385172","40.8247368"
"54","4985","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2A","2041","30","NA","C3","76 EDGECOMBE AVENUE"," ","10030","4","0","4","1608","4611","1920","2","C3","2495000","2016-11-29","541.097375840382","Manhattan","76 EDGECOMBE AVENUE, Manhattan, 10030 - New York","109","-73.9462413","40.8190198"
"55","4999","1","HARLEM-CENTRAL","07 RENTALS - WALKUP APARTMENTS             ","2B","2051","75","NA","C5","197 EDGECOMBE AVENUE"," ","10030","10","0","10","1667","2802","1901","2","C5","1244026","2016-11-23","443.977872947894","Manhattan","197 EDGECOMBE AVENUE, Manhattan, 10030 - New York","111","-73.9443714","40.8225569"
"56","5001","1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS           ","2","1730","9","NA","D3","45 WEST 132 STREET"," ","10037","286","0","286","68200","267008","1959","2","D3","18000000","2016-09-30","67.4137104506232","Manhattan","45 WEST 132 STREET, Manhattan, 10037 - New York","112","-73.9407908","40.8120584"
"57","5003","1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS           ","2","1730","36","NA","D3","2186 5 AVENUE"," ","10037","286","0","286","65340","267008","1958","2","D3","18000000","2016-09-30","67.4137104506232","Manhattan","2186 5 AVENUE, Manhattan, 10037 - New York","114","-73.9386932","40.8118364"
"58","5005","1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS           ","2","1730","64","NA","D3","40 WEST 135 STREET"," ","10037","286","0","286","66425","267008","1959","2","D3","18000000","2016-09-30","67.4137104506232","Manhattan","40 WEST 135 STREET, Manhattan, 10037 - New York","116","-73.9401434","40.8132681"
"59","5006","1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS           ","2","1730","75","NA","D3","470 LENOX AVENUE"," ","10037","286","0","286","84425","267008","1960","2","D3","18000000","2016-09-30","67.4137104506232","Manhattan","470 LENOX AVENUE, Manhattan, 10037 - New York","117","-73.9408818","40.8126791"
"60","5008","1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS           ","2","1737","25","NA","D3","30 WEST 141ST STREET"," ","10037","771","0","771","189025","555954","1959","2","D3","5020000","2016-11-07","9.02952402536901","Manhattan","30 WEST 141ST STREET, Manhattan, 10037 - New York","119","-73.9363743","40.8168841"
"61","5010","1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS           ","2","1737","25","NA","D3","2300 5 AVENUE"," ","10037","771","0","771","189025","555954","1959","2","D3","5020000","2016-11-07","9.02952402536901","Manhattan","2300 5 AVENUE, Manhattan, 10037 - New York","121","-73.9361744","40.8162886"
"62","5011","1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS           ","2","1737","59","NA","D3","60 WEST 142 STREET"," ","10037","257","0","257","64675","185318","1959","2","D3","5020000","2016-11-07","27.088572076107","Manhattan","60 WEST 142 STREET, Manhattan, 10037 - New York","122","-73.9366278","40.8175216"
"63","5013","1","HARLEM-CENTRAL","08 RENTALS - ELEVATOR APARTMENTS           ","2","1958","1","NA","D7","410 ST NICHOLAS AVENUE"," ","10027","311","4","315","65212","336334","1926","2","D7","67500000","2016-12-15","200.693358387793","Manhattan","410 ST NICHOLAS AVENUE, Manhattan, 10027 - New York","123","-73.9495823","40.8141972"
"64","5581","1","HARLEM-CENTRAL","29 COMMERCIAL GARAGES                      ","4","2013","44","NA","G5","122-124 WEST 145 STREET"," ","10039","0","1","1","13875","322","1972","4","G5","6750000","2016-12-22","20962.7329192547","Manhattan","122-124 WEST 145 STREET, Manhattan, 10039 - New York","125","-73.9376516","40.8208336"
"65","5665","1","HARLEM-EAST","03 THREE FAMILY DWELLINGS                  ","1","1796","48","NA","C0","310 EAST 120TH STREET"," ","10035","3","0","3","1968","3420","1899","1","C0","2100000","2016-09-15","614.035087719298","Manhattan","310 EAST 120TH STREET, Manhattan, 10035 - New York","127","-73.9353288","40.7991152"
"66","5676","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1628","20","NA","C7","1569 LEXINGTON AVENUE"," ","10029","33","4","37","4750","20243","1920","2","C7","12125000","2016-12-16","598.972484315566","Manhattan","1569 LEXINGTON AVENUE, Manhattan, 10029 - New York","129","-73.9488803","40.7886843"
"67","5680","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1628","50","NA","C7","1575 LEXINGTON AVENUE"," ","10029","34","6","40","4837","24170","1920","2","C7","15000000","2016-12-16","620.604054613157","Manhattan","1575 LEXINGTON AVENUE, Manhattan, 10029 - New York","131","-73.9487003","40.7889296"
"68","5681","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1628","52","NA","C7","1571 LEXINGTON AVENUE"," ","10029","33","2","35","4750","20243","1920","2","C7","11500000","2016-12-16","568.097613990021","Manhattan","1571 LEXINGTON AVENUE, Manhattan, 10029 - New York","132","-73.948794","40.788802"
"69","5686","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2B","1630","2","NA","C1","103 EAST 102ND STREET"," ","10029","10","0","10","2523","8975","1910","2","C1","6250000","2016-12-16","696.378830083566","Manhattan","103 EAST 102ND STREET, Manhattan, 10029 - New York","133","-73.9493136","40.7903803"
"70","5687","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1630","14","NA","C7","127 EAST 102ND STREET"," ","10029","30","2","32","3784","14986","1930","2","C7","7750000","2016-12-02","517.149339383424","Manhattan","127 EAST 102ND STREET, Manhattan, 10029 - New York","134","-73.9484506","40.7898146"
"71","5689","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1630","63","NA","C1","124 EAST 103RD STREET"," ","10029","30","0","30","5147","20785","1910","2","C1","10825000","2016-12-16","520.80827519846","Manhattan","124 EAST 103RD STREET, Manhattan, 10029 - New York","136","-73.948505","40.790402"
"72","5690","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1630","65","NA","C1","122 EAST 103RD STREET"," ","10029","24","0","24","4491","17615","1910","2","C1","7300000","2016-12-16","414.419528810673","Manhattan","122 EAST 103RD STREET, Manhattan, 10029 - New York","137","-73.9486529","40.790469"
"73","5691","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1630","67","NA","C1","118 EAST 103RD STREET"," ","10029","30","0","30","3986","15588","1910","2","C1","7525000","2016-12-16","482.743135745445","Manhattan","118 EAST 103RD STREET, Manhattan, 10029 - New York","138","-73.9487671","40.7905491"
"74","5692","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1630","69","NA","C1","112 EAST 103RD STREET"," ","10029","30","0","30","3936","15660","1910","2","C1","8800000","2016-12-16","561.941251596424","Manhattan","112 EAST 103RD STREET, Manhattan, 10029 - New York","139","-73.9488905","40.790613"
"75","5699","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1633","51","NA","C4","154 EAST 106TH STREET"," ","10029","20","0","20","2023","8115","1930","2","C4","5325000","2016-12-16","656.192236598891","Manhattan","154 EAST 106TH STREET, Manhattan, 10029 - New York","141","-73.9461307","40.7919234"
"76","5705","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1638","15","NA","C7","137 EAST 110TH STREET"," ","10029","18","2","20","2523","9865","1910","2","C7","5925000","2016-12-16","600.608210846427","Manhattan","137 EAST 110TH STREET, Manhattan, 10029 - New York","144","-73.9446088","40.7950615"
"77","5706","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1638","16","NA","C7","139 EAST 110TH STREET"," ","10029","18","2","20","2523","9865","1910","2","C7","5375000","2016-12-16","544.855549923974","Manhattan","139 EAST 110TH STREET, Manhattan, 10029 - New York","145","-73.9444858","40.7951177"
"78","5709","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2A","1638","141","NA","C3","180 EAST 111 STREET"," ","10029","4","0","4","1766","2412","1890","2","C3","1900000","2016-11-07","787.728026533997","Manhattan","180 EAST 111 STREET, Manhattan, 10029 - New York","146","-73.9429561","40.7950238"
"79","5720","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1661","16","NA","C1","233 EAST 111TH STREET"," ","10029","16","0","16","2523","6592","1900","2","C1","3425000","2016-12-16","519.569174757282","Manhattan","233 EAST 111TH STREET, Manhattan, 10029 - New York","148","-73.9409307","40.794162"
"80","5721","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1661","17","NA","C1","235 EAST 111TH STREET"," ","10029","16","0","16","2523","7142","1900","2","C1","3450000","2016-12-16","483.057966956035","Manhattan","235 EAST 111TH STREET, Manhattan, 10029 - New York","149","-73.9408751","40.7941382"
"81","5726","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1665","33","NA","C7","238 EAST 116TH STREET"," ","10029","28","3","31","4037","17156","1910","2","C7","9150000","2016-12-16","533.341105152716","Manhattan","238 EAST 116TH STREET, Manhattan, 10029 - New York","153","-73.938656","40.797054"
"82","5727","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1665","34","NA","C7","234 EAST 116TH STREET"," ","10029","28","3","31","3936","16523","1910","2","C7","9250000","2016-12-16","559.825697512558","Manhattan","234 EAST 116TH STREET, Manhattan, 10029 - New York","154","-73.9387383","40.7971943"
"83","5729","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1666","28","NA","C1","244 EAST 117TH STREET"," ","10035","41","0","41","5046","21024","1950","2","C1","11050000","2016-12-16","525.589802130898","Manhattan","244 EAST 117TH STREET, Manhattan, 10035 - New York","156","-73.9380089","40.797731"
"84","5731","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1667","9","NA","C1","215 EAST 117TH STREET"," ","10035","31","0","31","5046","21750","1910","2","C1","10250000","2016-12-16","471.264367816092","Manhattan","215 EAST 117TH STREET, Manhattan, 10035 - New York","157","-73.9385436","40.7984242"
"85","5735","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1667","39","NA","C1","216 EAST 118TH STREET"," ","10035","18","0","18","3742","15246","1900","2","C1","5925000","2016-12-16","388.626524990161","Manhattan","216 EAST 118TH STREET, Manhattan, 10035 - New York","161","-73.9381803","40.7988817"
"86","5741","1","HARLEM-EAST","07 RENTALS - WALKUP APARTMENTS             ","2","1677","41","NA","C7","318 EAST 106 STREET"," ","10029","16","2","18","2523","10684","1900","2","C7","4500000","2016-12-16","421.190565331337","Manhattan","318 EAST 106 STREET, Manhattan, 10029 - New York","163","-73.9415201","40.7899607"
