"","X","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE","PRICE.SQUARE.FEET","BOROUGHNAME","location","ID","lon","lat"
"2286","17311","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8612","3","NA","A1","283 WHITMAN DRIVE"," ","11234","1","0","1","3800","2941","1960","1","A1","900000","2016-11-10","306.018361101666","Brooklyn","283 WHITMAN DRIVE, Brooklyn, 11234 - New York","3916","-73.9051147","40.6069633"
"2287","17312","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8612","85","NA","A1","295 ARKANSAS DRIVE"," ","11234","1","0","1","4200","2069","1960","1","A1","800000","2016-12-02","386.660222329628","Brooklyn","295 ARKANSAS DRIVE, Brooklyn, 11234 - New York","3917","-73.9041459","40.6067857"
"2288","17315","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8616","16","NA","A1","163 WHITMAN DRIVE"," ","11234","1","0","1","8160","2104","1960","1","A1","1580000","2016-12-06","750.950570342205","Brooklyn","163 WHITMAN DRIVE, Brooklyn, 11234 - New York","3918","-73.9028616","40.6093915"
"2289","17327","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8626","1","NA","A2","268 MAYFAIR DRIVE NORTH"," ","11234","1","0","1","6592","2680","1965","1","A2","995000","2016-10-07","371.268656716418","Brooklyn","268 MAYFAIR DRIVE NORTH, Brooklyn, 11234 - New York","3922","-73.904218","40.6107624"
"2290","17342","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8636","1","NA","A1","2304 EAST 65TH STREET"," ","11234","1","0","1","4600","2891","1950","1","A1","1365000","2016-12-05","472.154963680387","Brooklyn","2304 EAST 65TH STREET, Brooklyn, 11234 - New York","3923","-73.9081624","40.613462"
"2291","17343","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8636","19","NA","A1","2358 EAST 65TH STREET"," ","11234","1","0","1","5100","3882","1950","1","A1","1440000","2016-09-20","370.942812982998","Brooklyn","2358 EAST 65TH STREET, Brooklyn, 11234 - New York","3924","-73.9076669","40.6122418"
"2292","17347","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8637","19","NA","A2","2358 EAST 64TH   STREET"," ","11234","1","0","1","5200","972","1950","1","A2","836500","2016-10-05","860.59670781893","Brooklyn","2358 EAST 64TH   STREET, Brooklyn, 11234 - New York","3925","-73.9088249","40.611938"
"2293","17356","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8646","46","NA","A1","2632 EAST 63RD STREET"," ","11234","1","0","1","2100","1152","1960","1","A1","549900","2016-10-07","477.34375","Brooklyn","2632 EAST 63RD STREET, Brooklyn, 11234 - New York","3928","-73.9113885","40.608623"
"2294","17360","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8648","36","NA","A3","2603 E64 STREET"," ","11234","1","0","1","4267","2154","1960","1","A3","832500","2016-10-31","386.490250696379","Brooklyn","2603 E64 STREET, Brooklyn, 11234 - New York","3929","-73.9100557","40.6086723"
"2295","17366","3","MILL BASIN","01 ONE FAMILY DWELLINGS                    ","1","8656","31","NA","A2","2236 EAST 63RD STREET"," ","11234","1","0","1","4900","1872","1950","1","A2","740000","2016-09-30","395.299145299145","Brooklyn","2236 EAST 63RD STREET, Brooklyn, 11234 - New York","3930","-73.9106345","40.6137066"
"2296","17368","3","MILL BASIN","02 TWO FAMILY DWELLINGS                    ","1","8592","4","NA","B1","2210 NATIONAL DRIVE"," ","11234","2","0","2","3240","2124","1970","1","B1","925000","2016-10-05","435.499058380414","Brooklyn","2210 NATIONAL DRIVE, Brooklyn, 11234 - New York","3931","-73.9163819","40.6067864"
"2297","17378","3","MILL BASIN","02 TWO FAMILY DWELLINGS                    ","1","8595","31","NA","B1","2717 EAST 63RD   STREET"," ","11234","2","0","2","2500","2120","1965","1","B1","760000","2016-12-07","358.490566037736","Brooklyn","2717 EAST 63RD   STREET, Brooklyn, 11234 - New York","3932","-73.9131346","40.6074622"
"2298","17393","3","MILL BASIN","02 TWO FAMILY DWELLINGS                    ","1","8650","24","NA","B2","612 MAYFAIR DRIVE"," ","11234","2","0","2","2500","2050","1960","1","B2","845000","2016-09-13","412.19512195122","Brooklyn","612 MAYFAIR DRIVE, Brooklyn, 11234 - New York","3934","-73.912795","40.610356"
